TARGET_CLASS,CMX_vs_Default,P_Coverage,Effect_Coverage
de.progra.charting.DefaultChart,0.127222222,0.388961044,0.588888889
ipac.WhoIS,0.116363636,0.000521219,0.96
bcry.bcGenerator,0.070462633,3.58E-05,1
com.pmdesigns.jvc.tools.TokenMgrError,0.053125,0.077583297,0.65
net.sourceforge.squirrel_sql.fw.gui.CascadeInternalFramePositioner,0.033333333,0.368120251,0.55
de.beiri22.stringincrementor.StringIncrementor,0.027142857,0.03309073,0.745
umd.cs.shop.JSTerm,0.01875,0.519263694,0.59
com.allenstudio.ir.ui.MainMenu,0.018518519,1.59E-05,1
ghm.follow.gui.TabbedPane,0.017857143,0.01424808,0.857142857
net.kencochrane.a4j.file.FileUtil,0.0172,0.72969172,0.55
com.gotoservers.ftp.FtpApplet,0.003831418,0.196705602,0.611111111
net.sf.xisemele.impl.OperationsHelperImpl,0.003703704,0.368120251,0.55
net.sourceforge.jwbf.mediawiki.actions.queries.TemplateUserTitles,0.003333333,0.076715977,0.65
net.virtualinfinity.atrobots.robot.Robot,0.003252033,0.223846971,0.65
bcry.battlecryGUI,0.001923077,0.093289956,0.65
Joshua.FoxHunt.FoxHuntFrame,0.001633987,0.374062797,0.555555556
teder.TederFrame,0.001587302,0.168588772,0.611111111
com.yahoo.platform.yui.compressor.ScriptOrFnScope,0.001282051,0.368120251,0.55
com.jstevh.viewer.ClassViewer,0.00106383,0.027354233,0.75
Client,0.000428571,0.113986956,0.65
Convert,1.39E-17,1,0.5
org.jcvi.jillion.assembly.consed.phd.DefaultPhdReadTag,0,1,0.5
src.Battle,0,1,0.5
net.sf.lavalamp.device.TimeOfDay,0,1,0.5
MP3,0,1,0.5
bible.util.Queue,0,1,0.5
httpanalyzer.Password,0,1,0.5
geo.google.mapping.AddressToUsAddressFunctor,0,1,0.5
org.heal.util.InterfaceUtilitiesBean,0,1,0.5
com.browsersoft.openhre.hl7.impl.regular.ExpressionImpl,0,1,0.5
jahuwaldt.plot.PlotAxis,0,1,0.5
jipa.Variable,0,1,0.5
jigl.image.ops.Shift,0,1,0.5
com.densebrain.rif.server.transport.WebServiceDescriptor,0,1,0.5
com.liferay.portal.kernel.servlet.filters.invoker.FilterMapping,0,1,0.5
wheel.asm.FieldWriter,0,1,0.5
uk.me.jockmacmad.jstate.state.Transition,0,1,0.5
com.yahoo.platform.yui.compressor.JavaScriptCompressor,0,1,0.5
com.lts.swing.combobox.SimpleComboBox,0,1,0.5
com.imsmart.servlet.HTMLFilter,0,1,0.5
net.virtualinfinity.atrobots.gui.renderers.RobotRenderer,0,1,0.5
com.ib.client.ComboLeg,0,1,0.5
org.templateit.Region,0,1,0.5
org.javathena.login.parse.FromClient,0,1,0.5
bierse.controller.DefaultSettingsController,0,1,0.5
com.mytdev.resources4j.impl.AbstractResources,0,1,0.5
com.hf.sfm.crypt.Base64,0,1,0.5
src.Purchase,0,1,0.5
com.ib.client.ExecutionFilter,0,1,0.5
com.gbshape.dbe.sapdb.SapdbTableList,0,1,0.5
org.quickserver.util.xmlreader.QuickServerConfig,0,1,0.5
de.devcity.parseargs.ArgsParser,0,1,0.5
jcmdline.HelpCmdLineHandler,0,1,0.5
fi.vtt.noen.mfw.bundle.probe.shared.ProbeInformation,0,1,0.5
net.kencochrane.a4j.DAO.Product,0,1,0.5
com.liferay.portlet.documentlibrary.model.DLSyncWrapper,0,1,0.5
de.outstare.fortbattleplayer.model.impl.SimpleSector,0,1,0.5
org.jcvi.jillion.assembly.ca.frg.Distance,0,1,0.5
org.petsoar.order.CreditCardInfo,0,1,0.5
src.VassalRebellion,0,1,0.5
ch.bfh.egov.nutzenportfolio.service.fragebogen.NaOpNuDaoService,0,1,0.5
org.sourceforge.ifx.basetypes.IFXObject,0,1,0.5
apbs_mem_gui.Main,0,1,0.5
net.sf.sugar.fspath.FSPathResult,0,1,0.5
lotus.core.phases.Phase,0,1,0.5
net.sf.xbus.base.core.MessageHandler,0,1,0.5
Menu,0,1,0.5
geo.google.datamodel.GeoStatusCode,0,1,0.5
org.apache.lucene.search.exposed.compare.NamedCollatorComparator,0,1,0.5
de.huxhorn.lilith.data.access.AccessEvent,0,1,0.5
net.sourceforge.beanbin.reflect.ReflectionSearch,0,1,0.5
com.lts.event.SimpleKeyListenerHelper,0,1,0.5
net.sourceforge.ext4j.taglib.bo.Request,0,1,0.5
org.saxpath.Axis,0,1,0.5
osa.ora.server.client.ui.utils.FontChooserDialog,-2.78E-17,1,0.5
com.jstevh.viewer.ClassInfo,-0.001190476,0.655567382,0.445
org.firebirdsql.encodings.EncodingFactory,-0.001282051,0.168078319,0.4
dsachat.server.Handler,-0.002040816,0.368120251,0.45
net.sourceforge.beanbin.reflect.MethodReflectionCriteria,-0.00212766,0.368120251,0.45
org.exolab.jms.net.socket.SocketRequestInfo,-0.002941176,0.368120251,0.45
jigl.image.levelSetTool.LevelSetNudge,-0.003497444,0.306429005,0.349206349
ghm.follow.search.SearchableTextPane,-0.003809524,0.492135336,0.411111111
fi.vtt.noen.testgen.observations.formatter.DaikonFormatter,-0.004225352,0.076715977,0.35
Scanner,-0.004460764,0.002807303,0.088888889
de.beiri22.stringincrementor.helper.IndexedString,-0.005,0.368120251,0.45
com.allenstudio.ir.util.XmlElement,-0.005263158,0.619142855,0.445
de.outstare.fortbattleplayer.statistics.BattleStatistics,-0.00772792,0.060632447,0.25
weka.core.Memory,-0.00862069,0.286422023,0.37
ioproject.server.network.ClientGroup,-0.009848485,0.78122041,0.54
corina.formats.TucsonSimple,-0.010909091,0.202670896,0.34
org.firebirdsql.jdbc.FBProcedureCall,-0.012244898,0.396102814,0.385
fr.pingtimeout.jtail.gui.view.JTailPanel,-0.013043478,0.269409114,0.365
mindbright.ssh.SSHSCPGUIThread,-0.018681319,0.033477164,0.25
wheel.asm.ClassWriter,-0.01954023,0.165115721,0.32
net.sf.sugar.fspath.cli.FSPathExplorer,-0.021568627,0.456672134,0.4
ipac.BinaryCalculate,-0.025242718,0.000782017,0.055
com.pmdesigns.jvc.tools.JVCParser,-0.027375566,0.121224503,0.29
com.soops.CEN4010.JMCA.JMCAAnalyzer,-0.028140704,0.820330063,0.465
org.jsecurity.util.AntPathMatcher,-0.031176471,0.425785263,0.39
org.fixsuite.message.view.TreeView,-0.03125,0.076715977,0.35
jigl.image.ops.ConnectedComponents,-0.036036036,0.018582335,0.194444444
fr.unice.gfarce.interGraph.ModifTableStockage,-0.037398374,0.003511686,0.115
lotus.core.Game,-0.041666667,0.026603455,0.235
com.werken.saxpath.XPathLexer,-0.043078512,0.00016973,0
umd.cs.shop.JSState,-0.043902439,0.03470314,0.3
org.objectweb.asm.jip.ClassReader,-0.045410037,0.212293836,0.33
de.progra.charting.CoordSystemUtilities,-0.054347826,0.002091839,0.125
com.soops.CEN4010.JMCA.JParser.JavaCharStream,-0.056018519,0.000566301,0.04
org.objectweb.asm.jip.commons.LocalVariablesSorter,-0.059770115,0.091549138,0.28
com.lts.io.DirectoryScanner,-0.060991379,0.001980771,0.095
jgaapGUI,-0.073913043,0.622059161,0.435
jipa.Main,-0.080597015,0.00097837,0.065
org.firebirdsql.gds.impl.wire.AbstractJavaGDSImpl,-0.081538462,0.000181651,0
com.jstevh.viewer.SAXDirParser,-0.09,0.000252895,0.04
umd.cs.shop.JSPredicateForm,-0.093678161,0.007795563,0.145
com.soops.CEN4010.JMCA.JParser.JavaParserTokenManager,-0.109871119,0.00220222,0.09
wheel.asm.ClassReader,-0.11627907,0.001706249,0.08
edu.mscd.cs.jclo.JCLO,-0.122556391,0.002654174,0.1
org.fixsuite.message.Library,-0.137142857,0.023347599,0.24
org.objectweb.asm.jip.MethodWriter,-0.160497573,0.000181651,0
net.sourceforge.schemaspy.model.xml.TableMeta,-0.311764706,0.001986182,0.15
